Time,Time_Code,x1,x2,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11,Factor12,Score
2016,YR2016,Sri Lanka,LKA,-1.073953611,-0.250845755,-0.399004217,-0.353299446,0.433479464,0.162560696,-0.928275717,0.743129969,-0.222125041,-1.312470463,-0.982747672,0.225090244,-13.60756834
2016,YR2016,St. Lucia,LCA,-1.018083864,-0.294626856,-0.784227165,0.322974667,-1.607108225,-0.760161177,-2.060817566,0.240481578,-1.554186449,0.0825209,-0.725368875,0.117289618,-24.2293849
2016,YR2016,St. Vincent and the Grenadines,VCT,-0.667143183,-0.228176023,-1.205126208,0.304712433,-1.064741493,-0.399336824,-0.793161255,-0.460884332,-1.462119338,-0.327494297,-0.33307908,0.314009781,-18.75073747
2016,YR2016,Sweden,SWE,1.28973764,-0.148818858,-0.238110596,-0.676814565,-0.73560327,-0.623443754,0.108859432,-0.112526255,-1.393366253,1.864201156,-0.382020277,1.545110363,4.312378711
2016,YR2016,Switzerland,CHE,0.957227861,-0.033671895,0.171233906,0.118223226,-0.054653314,-1.053090063,-0.23878975,-0.4062498,-0.560090676,1.976105117,-0.596005948,0.73713142,5.930370554
2016,YR2016,Tanzania,TZA,-1.352313555,0.107500639,1.328598374,-0.422022706,-0.857413425,-0.077073903,1.262694948,0.6483041,-0.379374121,-0.260620861,0.81743424,-0.29530907,-4.62032149
2016,YR2016,Thailand,THA,-0.946649867,-0.066697929,-0.311700623,0.480389923,1.667602322,-0.794857589,-0.44018849,-0.024926471,-0.44676964,0.317881963,-0.276580901,0.313096161,-4.743024927
2016,YR2016,Togo,TGO,-1.125191638,-0.307760082,1.169362898,-0.275079111,-0.559507885,-0.884880838,0.739819869,0.583112288,1.292943243,-0.432163401,-0.368212356,1.358036543,-3.64247371
2016,YR2016,Tunisia,TUN,-0.00583988,-0.427302828,-0.072959425,-0.162999817,0.759323617,0.553584918,-0.903702333,-0.405803004,0.872617446,-0.895322604,-1.067612961,0.069544142,-3.280436528
2016,YR2016,Turkey,TUR,0.464783891,-0.098400769,0.406972458,-0.660214957,0.906070207,1.275757876,-0.133882069,0.250647058,0.377297659,-0.401912869,-0.757014534,-0.092093189,6.784565795
2016,YR2016,Uganda,UGA,-1.874198943,-0.120354851,1.654882275,-0.19101214,-0.788373029,0.060543964,-0.427923151,-0.224882222,0.277215645,0.66796579,-0.920168245,0.474347809,-11.39361069
2016,YR2016,Ukraine,UKR,0.626596584,-0.264567701,-1.869883602,0.457119539,0.194844903,2.653973251,1.111931686,0.061704014,3.092908997,-1.27385183,0.336820876,0.060897808,12.06027836
2016,YR2016,United Kingdom,GBR,1.224995929,0.728439983,-0.008234975,-0.596096403,-0.936288849,-0.492254281,-0.552151979,-0.146664297,0.858560287,0.509613853,-0.834149933,0.192173952,5.270888149
2016,YR2016,United States,USA,1.58087828,6.410025957,-0.110101242,-0.909740173,-2.111603135,-1.048188374,0.180714883,-0.613120786,0.234403678,-1.005638185,-0.623949205,0.409473277,20.45187946
2016,YR2016,Uruguay,URY,1.232442734,-0.492265217,-0.488799513,-0.749084695,-0.381946155,1.822867051,0.150972137,-0.315378948,0.764445135,-0.164315883,-1.059307007,0.598841647,6.009819391
2016,YR2016,Vietnam,VNM,-0.901921064,-0.04708583,-0.269275074,1.173050222,1.266606595,0.452197019,0.618465943,1.27795521,-0.508962347,-0.283543161,-0.061246799,1.713921455,6.327185946
2016,YR2016,Zimbabwe,ZWE,-2.130780695,0.058924371,-0.20156395,-0.094118669,-0.961362801,-1.711325822,-1.175813226,-1.810558202,-0.492450125,0.825431545,2.333923947,0.210170747,-24.60026686
